"Product ID","Description","Size","Location","Ready","In Stock","Committed","Available","Date"
"NEPCP72","Nepeta 'Cat's Pajamas'","72","0000","PROD","6912","0","6912","9/6/2026 12:00:00 AM"
"NEPCP72","Nepeta 'Cat's Pajamas'","72","xOffice","CATALOG","9","0","9","9/6/2026 12:00:00 AM"
"NEPCP1","Nepeta 'Cat's Pajamas'","#1","A05","READY","300","120","180","9/6/2026 12:00:00 AM"
"SALCAR72","Salvia nemorosa 'Caradonna'","72","0000","PROD","5184","0","5184","9/6/2026 12:00:00 AM"
"HEUOBS50","Heuchera 'Obsidian'","50","B13","PROD","2400","0","2400","9/6/2026 12:00:00 AM"
"ECHMAG1","Echinacea purpurea 'Magnus'","#1","0000","PROD","4608","1500","3108","9/6/2026 12:00:00 AM"
"RUDGS1","Rudbeckia 'Goldsturm'","#1","A05","READY","1240","800","440","9/6/2026 12:00:00 AM"
"SEDAJQT","Sedum 'Autumn Joy'","Qt","A12","READY","3888","400","3488","9/6/2026 12:00:00 AM"
"ROSARP72","Rosmarinus 'Arp'","72","LOST","PROD","936","0","936","9/6/2026 12:00:00 AM"
"PANNW1","Panicum virgatum 'Northwind'","#1","0000","PROD","900","0","900","9/6/2026 12:00:00 AM"
"PACKBOX","Packing and Boxes","Each","Default","READY","1000000","0","1000000","9/6/2026 12:00:00 AM"
